method_name,size,time
DT,100,1777592057.4258754
DT,500,1777592057.4265087
DT,1000,1777592057.4265049
DT,5000,1777592057.4260798
DT,10000,1777592057.425833
DT,100,1777592057.426473
DT,500,1777592057.4265077
DT,1000,1777592057.4264033
DT,5000,1777592057.4261918
DT,10000,1777592057.4249744
DT,100,1777592057.426227
DT,500,1777592057.4262972
DT,1000,1777592057.4264235
DT,5000,1777592057.426136
DT,10000,1777592057.4239955
DT,100,1777592057.4263282
DT,500,1777592057.4264529
DT,1000,1777592057.426456
DT,5000,1777592057.426152
DT,10000,1777592057.4252722
DT,100,1777592057.4265177
DT,500,1777592057.4265244
DT,1000,1777592057.426508
DT,5000,1777592057.4259703
DT,10000,1777592057.4257507
DT_LDA,100,1777592057.4264593
DT_LDA,500,1777592057.4264617
DT_LDA,1000,1777592057.426419
DT_LDA,5000,1777592057.4260166
DT_LDA,10000,1777592057.4245446
DT_LDA,100,1777592057.4264858
DT_LDA,500,1777592057.4264884
DT_LDA,1000,1777592057.4263947
DT_LDA,5000,1777592057.4259503
DT_LDA,10000,1777592057.4251733
DT_LDA,100,1777592057.4265053
DT_LDA,500,1777592057.4264863
DT_LDA,1000,1777592057.426437
DT_LDA,5000,1777592057.426012
DT_LDA,10000,1777592057.4254515
DT_LDA,100,1777592057.4265277
DT_LDA,500,1777592057.426506
DT_LDA,1000,1777592057.4264479
DT_LDA,5000,1777592057.4260364
DT_LDA,10000,1777592057.4254186
DT_LDA,100,1777592057.4265227
DT_LDA,500,1777592057.4264877
DT_LDA,1000,1777592057.4264507
DT_LDA,5000,1777592057.426072
DT_LDA,10000,1777592057.4254303
DT_LDA,100,1777592057.4265344
DT_LDA,500,1777592057.4264915
DT_LDA,1000,1777592057.4264517
DT_LDA,5000,1777592057.4260592
DT_LDA,10000,1777592057.4252698
DT_LDA,100,1777592057.4265254
DT_LDA,500,1777592057.4265056
DT_LDA,1000,1777592057.426433
DT_LDA,5000,1777592057.4260182
DT_LDA,10000,1777592057.4255335
DT_LDA,100,1777592057.4265301
DT_LDA,500,1777592057.426508
DT_LDA,1000,1777592057.426448
DT_LDA,5000,1777592057.4260368
DT_LDA,10000,1777592057.425603
DT_LDA,100,1777592057.4264288
DT_LDA,500,1777592057.426493
DT_LDA,1000,1777592057.4264312
DT_LDA,5000,1777592057.4260602
